"date","price","rate","obs","r_sq","sigma_preds_garch11ma1.norm","sigma_preds_garch11ma1.std","sigma_preds_garch11ma1.ged","sigma_preds_garch11ma1.sstd","sigma_preds_egarch11ma1.norm","sigma_preds_egarch11ma1.std","sigma_preds_egarch11ma1.ged","sigma_preds_egarch11ma1.sstd","sigma_preds_tgarch11ma1.norm","sigma_preds_tgarch11ma1.std","sigma_preds_tgarch11ma1.ged","sigma_preds_tgarch11ma1.sstd","sigma_preds_cgarch11ma1.norm","sigma_preds_cgarch11ma1.std","sigma_preds_cgarch11ma1.ged","sigma_preds_cgarch11ma1.sstd","sigma_preds_RW","sigma_preds_HA","sigma_preds_MA1","sigma_preds_MA3"
"2020-01-02",59048.28,0.0207979422900319,2497,0.000432554403499497,5.42615730528602e-05,5.50349838231007e-05,5.44632932214969e-05,5.51173186293368e-05,4.83602245488399e-05,4.89365281056269e-05,4.865231917777e-05,4.93678076158253e-05,4.79356914183429e-05,4.84903907981962e-05,4.81511993503296e-05,4.89573029813009e-05,5.3594728984236e-05,5.45732760066887e-05,5.44342199332242e-05,5.46970696551512e-05,6.03095246515068e-07,9.5285401530257e-05,6.54404466296457e-05,7.03604312346817e-05
"2020-01-03",58603.27,-0.00756491728752724,2498,5.72279735671285e-05,7.84799845619801e-05,7.90286474790112e-05,7.83966981259995e-05,7.87948463415599e-05,5.10822529106272e-05,4.95185806488829e-05,5.03573416548909e-05,5.01091157392902e-05,5.04288047968715e-05,4.87482873093047e-05,4.96090902845776e-05,4.93827733920765e-05,9.20230012686828e-05,7.86967091564429e-05,7.84494855684183e-05,7.94534934195035e-05,0.000432554403499497,9.54205253291228e-05,6.68610021357409e-05,7.09078398021636e-05
"2020-01-07",58283.26,-0.00547558045472106,2499,2.99819813161233e-05,7.90473263054531e-05,7.9250386963091e-05,7.82336563489343e-05,7.88324808571825e-05,6.01235967824907e-05,5.89602442592757e-05,5.90884075704027e-05,5.91193891693227e-05,6.08153165438094e-05,5.92929383192496e-05,5.95577063644421e-05,5.94182524861441e-05,7.83262916971717e-05,7.9783719721188e-05,7.83516513285525e-05,7.89261922038713e-05,5.72279735671285e-05,9.54052299539678e-05,6.62122532258952e-05,7.08686834503631e-05
"2020-01-08",57596.09,-0.0118602331658335,2500,0.000140665130747937,7.59200035116863e-05,7.63375131769332e-05,7.53790998373314e-05,7.59732785599735e-05,6.24831946645698e-05,6.2000491553048e-05,6.1977333786541e-05,6.21359139834169e-05,6.38198151195612e-05,6.29506365613235e-05,6.31092848083585e-05,6.30279733062286e-05,7.28570100949773e-05,7.6411679344e-05,7.55064916875547e-05,7.54404198945116e-05,2.99819813161233e-05,9.53790397023114e-05,6.51070873007494e-05,7.08804995623488e-05
"2020-01-09",58397.17,0.0138127463025835,2501,0.000190791960419533,7.98678622663119e-05,8.02177927133484e-05,7.93537676796535e-05,7.99540577602838e-05,7.55219806794189e-05,7.60408717383512e-05,7.55181824562014e-05,7.58586274649231e-05,7.84908545460261e-05,7.82898045658628e-05,7.81430479896516e-05,7.79511464076784e-05,8.07397242242126e-05,7.98684985567884e-05,7.93792566597806e-05,7.98611346585475e-05,0.000140665130747937,9.53971613874037e-05,6.56366426127446e-05,7.10662189791877e-05
"2020-01-10",58732.09,0.00571882572800592,2502,3.27049677073024e-05,8.81077460203758e-05,8.84234738362127e-05,8.73168015901234e-05,8.77714171219059e-05,7.43375908771493e-05,7.32120919161579e-05,7.35392492757137e-05,7.32231817639406e-05,7.64220588415569e-05,7.46022851743123e-05,7.53124278797144e-05,7.4516779586806e-05,9.12786651648298e-05,8.84975315180017e-05,8.77568767235975e-05,8.84225698726639e-05,0.000190791960419533,9.54353193070165e-05,6.60825160407882e-05,7.12546392831234e-05
"2020-01-13",59275.02,0.0092017138778804,2503,8.46715382903767e-05,8.4400195849328e-05,8.46965886106162e-05,8.37800808724088e-05,8.42465693201809e-05,6.99930962077077e-05,6.86910041971081e-05,6.91937255002537e-05,6.88422790882368e-05,7.12701073055289e-05,6.94385071648597e-05,7.02336009140632e-05,6.95326210063381e-05,8.04920559291274e-05,8.43827659786884e-05,8.3716844123475e-05,8.38098866839743e-05,3.27049677073024e-05,9.54102371992198e-05,6.57890593629941e-05,7.12635876876381e-05
"2020-01-14",59118.97,-0.0026361150657609,2504,6.94910263993162e-06,8.41518205274121e-05,8.44496902178548e-05,8.3576554389447e-05,8.42427228381528e-05,6.73486273351918e-05,6.53678926978813e-05,6.62701476397041e-05,6.56493952124522e-05,6.79921959804698e-05,6.55720107093176e-05,6.67186234429241e-05,6.58272537934949e-05,8.23650817395606e-05,8.44672020895483e-05,8.36123641520815e-05,8.42561695971979e-05,8.46715382903767e-05,9.5405945153293e-05,6.46949314416376e-05,7.1355407337296e-05
"2020-01-15",58671.25,-0.00760202597758344,2505,5.77907989638535e-05,7.99889554375986e-05,8.01322078954501e-05,7.92901163503212e-05,7.99721971204227e-05,6.70244482186732e-05,6.54815464636412e-05,6.59726043990131e-05,6.56380454767469e-05,6.79430161835843e-05,6.59923101539012e-05,6.66866780888316e-05,6.61168484949922e-05,7.61345258481075e-05,7.99223307273011e-05,7.92117947668355e-05,7.95283487427182e-05,6.94910263993162e-06,9.53706048246819e-05,6.4042416217354e-05,7.13563654186126e-05
"2020-01-16",58962.37,0.00494961549832544,2506,2.44986935812634e-05,7.8646989563483e-05,7.8918128702865e-05,7.81476793959949e-05,7.88313375922749e-05,7.30745586203146e-05,7.23047239571732e-05,7.24446700875574e-05,7.23120685163326e-05,7.50600137123758e-05,7.37478327936514e-05,7.41822263326806e-05,7.36951320236984e-05,7.69172753239115e-05,7.86566662537697e-05,7.81004304406028e-05,7.8747139213761e-05,5.77907989638535e-05,9.53555969149931e-05,6.30582438857922e-05,7.14300320295975e-05
